"","date","user_id","type","value"
"323",1638,52,2,0
"324",599,10,2,1.8800001
"325",2670,52,2,4
"326",3250,39,4,2.96
"327",895,40,2,4
"328",2800,54,4,3.61108923
"329",419,17,4,1
"330",3092,54,1,4
"331",4110,35,2,3.2
"332",3873,80,2,0.847713947
"333",212,17,2,3.656476498
"334",3862,80,2,4
"335",1990,64,2,4
"336",679,48,3,3.8
"337",1109,59,4,3
"338",3005,52,2,3.96
"339",2037,14,4,4
"340",2334,69,4,3.63275218
"341",4551,64,4,2.08
"342",3957,52,2,4
"343",3657,56,2,3.793227911
"344",778,52,4,2.1599998
"345",444,90,4,3.8
"346",2953,13,2,2.425441265
"347",640,52,4,2.04
"348",566,90,2,2.850345612
"349",3778,65,3,3.476541758
"350",471,68,3,4
"351",648,33,2,0.184983492
"352",2171,81,2,3.2
"353",700,84,1,3
"354",3205,46,4,3.176800966
"355",3585,60,4,2.72
"356",81,90,4,1.20481348
"357",2676,58,4,4
"358",316,66,2,2.6799998
"359",3066,60,4,3.6
"360",2950,52,4,2.24
"361",3795,90,2,4
"362",1752,85,2,1.077111006
"363",2735,86,2,0
"364",2234,79,2,4
"365",225,21,2,1.76
"366",655,33,2,2.282396078
"367",2176,33,1,1.809715033
"368",447,66,2,2.44
"369",2218,90,4,2.44
"370",1687,72,3,1.72
"371",3190,65,4,2.258863449
"372",4051,49,4,3.434333563
"373",3855,11,1,4
"374",561,84,2,1.72
"375",223,30,2,2.4
"376",2452,10,2,3
"377",475,24,2,3.634467602
"378",1843,10,2,1.301105022
"379",3000,18,4,1
"380",1148,17,2,1.535465002
"381",4517,52,3,2.04
"382",3902,9,4,4
"383",1209,27,2,3.96
"384",637,17,4,1.191058159
"385",4073,33,4,2.711333752
"386",591,23,4,3.92
"387",2260,97,4,2.973839283
"388",3528,39,4,3.32
"389",2857,37,4,1.3199999
"390",3629,69,4,1.244140625
"391",4161,16,2,2
"392",1399,98,4,1
"393",1544,66,2,1.8800001
"394",4289,45,4,2.549137592
"395",2701,96,2,0.910070419
"396",1636,32,2,3.96
"397",32,79,2,1.52
"398",2567,83,2,3.92
"399",811,46,1,3.96
"400",668,46,2,1
"401",4625,10,4,2.343905449
"402",3312,0,4,3.184181452
"403",1486,66,2,2
"404",3955,60,4,2.08
"405",626,12,1,1.8
"406",3729,33,4,3.2
